Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
ARCH,2520,2,Arch Foundations II,0.43,0.36,0.14,0.0,0.0,0.0,0.0,0.07,clarissa mendez,False,ARCH-2520,2018,True
ARCH,2520,3,Arch Foundations II,0.23,0.54,0.23,0.0,0.0,0.0,0.0,0.0,criss mills,False,ARCH-2520,2018,True
ARCH,2520,4,Arch Foundations II,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,robert bruhns,False,ARCH-2520,2018,True
ARCH,2520,5,Arch Foundations II,0.23,0.62,0.15,0.0,0.0,0.0,0.0,0.0,berrin terim,False,ARCH-2520,2018,True
ARCH,2520,6,Arch Foundations II,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,catherine parn smith,False,ARCH-2520,2018,True
ARCH,2710,1,Structures II,0.51,0.34,0.09,0.0,0.03,0.0,0.0,0.03,mahmoodreza soltani,False,ARCH-2710,2018,True
ARCH,3530,1,Studio Genoa,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,henrique houayek,False,ARCH-3530,2018,True
ARCH,3540,1,Studio Barcelona,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,miguel roldan,False,ARCH-3540,2018,True
ARCH,4050,1,American Arch Styles 1650-1950,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,robert bruhns,False,ARCH-4050,2018,True
ARCH,4140,1,Design Seminar,0.79,0.21,0.0,0.0,0.0,0.0,0.0,0.0,henrique houayek,False,ARCH-4140,2018,True
ARCH,4160,1,Field Studies,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,henrique houayek,False,ARCH-4160,2018,True
ARCH,4520,1,Synthesis Studio,0.47,0.4,0.13,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-4520,2018,True
ARCH,4520,2,Synthesis Studio,0.29,0.43,0.29,0.0,0.0,0.0,0.0,0.0,julie poe wilkerson,False,ARCH-4520,2018,True
ARCH,4520,3,Synthesis Studio,0.07,0.73,0.2,0.0,0.0,0.0,0.0,0.0,george schafer,False,ARCH-4520,2018,True
ARCH,4520,4,Synthesis Studio,0.5,0.36,0.07,0.07,0.0,0.0,0.0,0.0,joseph schott,False,ARCH-4520,2018,True
ARCH,4890,1,Internship,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.1,ashley jennings,False,ARCH-4890,2018,True
ARCH,4990,1,Immersive Virtual Environments,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.09,david lee,False,ARCH-4990,2018,True
ARCH,8110,1,Visualization II,0.33,0.5,0.08,0.0,0.0,0.0,0.0,0.08,douglas hecker,False,ARCH-8110,2018,True
ARCH,8120,1,Computational Design Methods,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,david lee,False,ARCH-8120,2018,True
ARCH,8420,1,Arch Studio II,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,andreea mihalache,False,ARCH-8420,2018,True
ARCH,8610,1,History/Theory II,0.45,0.45,0.09,0.0,0.0,0.0,0.0,0.0,ufuk ersoy,False,ARCH-8610,2018,True
ARCH,8620,1,History/Theory III,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,andreea mihalache,False,ARCH-8620,2018,True
ARCH,8650,1,Topics in Health Policy,0.63,0.38,0.0,0.0,0.0,0.0,0.0,0.0,anjali joseph,False,ARCH-8650,2018,True
ARCH,8710,1,Structures II,0.37,0.47,0.16,0.0,0.0,0.0,0.0,0.0,dustin grah albright,False,ARCH-8710,2018,True
ARCH,8730,2,Environmental Sys,0.54,0.42,0.04,0.0,0.0,0.0,0.0,0.0,vincent yves blouin,False,ARCH-8730,2018,True
ARCH,8740,1,Building Process:TR,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,joseph schott,False,ARCH-8740,2018,True
ARCH,8900,1,Directed Studies,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,sara bayramzadeh,False,ARCH-8900,2018,True
ARCH,8920,1,Comprehensive Studio,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,david allison,False,ARCH-8920,2018,True
ARCH,8920,2,Comprehensive Studio,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,dustin grah albright,False,ARCH-8920,2018,True
ARCH,8920,3,Comprehensive Studio,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,ulrike ann-sop heine,False,ARCH-8920,2018,True
